STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
JA000047759,"KYOTO, JA",35.017,135.733,46,1/1/1970,,,51,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/2/1970,,,50,",,I",36,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/3/1970,,,53,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/4/1970,,,48,",,I",34,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/5/1970,,,38,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/6/1970,,,45,",,I",28,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/7/1970,,,49,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/8/1970,,,50,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/9/1970,,,47,",,I",35,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/10/1970,,,50,",,I",29,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/11/1970,,,50,",,I",35,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/12/1970,,,51,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/13/1970,,,51,",,I",34,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/14/1970,,,43,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/15/1970,,,42,",,I",28,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/16/1970,,,38,",,I",29,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/17/1970,,,37,",,I",25,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/18/1970,,,41,",,I",25,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/19/1970,,,45,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/20/1970,,,49,",,I",25,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/21/1970,,,49,",,I",28,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/22/1970,,,47,",,I",34,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/23/1970,,,52,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/24/1970,,,44,",,I",35,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/25/1970,,,47,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/26/1970,,,52,",,I",27,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/27/1970,,,48,",,I",33,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/28/1970,,,51,",,I",27,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/29/1970,,,57,",,I",26,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/30/1970,,,53,",,I",36,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,1/31/1970,,,48,",,I",34,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/1/1970,,,45,",,I",33,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/2/1970,,,49,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/3/1970,,,48,",,I",26,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/4/1970,,,50,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/5/1970,,,40,",,I",28,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/6/1970,,,44,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/7/1970,,,48,",,I",27,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/8/1970,,,45,",,I",39,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/9/1970,,,45,",,I",31,",,I"
