STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/1/2019,51,60,40
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/2/2019,39,41,35
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/3/2019,41,45,39
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/4/2019,41,47,37
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/5/2019,44,47,42
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/6/2019,45,49,32
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/7/2019,31,35,26
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/8/2019,40,47,35
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/9/2019,44,46,35
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/10/2019,35,35,30
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/11/2019,28,32,22
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/12/2019,26,34,21
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/13/2019,30,33,25
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/14/2019,28,35,22
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/15/2019,30,36,26
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/16/2019,34,40,31
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/17/2019,31,34,26
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/18/2019,33,42,29
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/19/2019,36,39,32
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/20/2019,35,40,16
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/21/2019,13,16,5
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/22/2019,19,31,14
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/23/2019,34,47,30
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/24/2019,50,57,35
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/25/2019,37,40,29
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/26/2019,30,35,25
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/27/2019,38,49,29
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/28/2019,33,39,25
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/29/2019,32,44,25
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/30/2019,30,36,7
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,1/31/2019,9,17,3
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/1/2019,16,22,12
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/2/2019,24,35,18
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/3/2019,39,52,31
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/4/2019,46,59,36
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/5/2019,49,65,36
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/6/2019,42,46,35
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/7/2019,41,44,37
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/8/2019,45,55,33
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/9/2019,31,33,24
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/10/2019,29,36,24
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/11/2019,34,37,31
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/12/2019,31,35,26
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/13/2019,37,42,33
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/14/2019,37,46,33
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/15/2019,46,56,41
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/16/2019,42,46,32
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/17/2019,32,37,26
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/18/2019,36,42,26
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/19/2019,29,36,24
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/20/2019,29,32,26
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/21/2019,38,52,32
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/22/2019,42,43,37
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/23/2019,36,39,32
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/24/2019,39,47,35
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/25/2019,41,43,28
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/26/2019,30,37,25
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/27/2019,26,29,23
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,2/28/2019,30,36,26
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/1/2019,30,36,25
