STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/1/2022,24,35,14
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/2/2022,37,41,33
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/3/2022,38,42,35
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/4/2022,37,41,32
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/5/2022,30,33,26
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/6/2022,32,39,26
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/7/2022,37,40,34
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/8/2022,33,38,28
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/9/2022,37,44,29
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/10/2022,38,47,29
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/11/2022,47,50,44
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/12/2022,50,53,48
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/13/2022,45,52,39
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/14/2022,45,50,41
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/15/2022,41,45,38
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/16/2022,42,44,40
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/17/2022,42,45,39
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/18/2022,43,45,42
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/19/2022,47,49,44
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/20/2022,48,53,43
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/21/2022,41,46,36
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/22/2022,40,45,35
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/23/2022,36,40,32
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/24/2022,38,40,36
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/25/2022,36,37,34
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/26/2022,36,38,34
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/27/2022,36,41,31
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/28/2022,37,46,28
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/29/2022,38,45,32
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/30/2022,43,46,40
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/31/2022,42,45,39
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/1/2022,37,43,31
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/2/2022,32,36,29
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/3/2022,39,43,35
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/4/2022,43,47,39
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/5/2022,42,45,39
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/6/2022,38,45,31
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/7/2022,45,53,37
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/8/2022,42,46,37
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/9/2022,45,48,42
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/10/2022,41,44,38
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/11/2022,41,46,36
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/12/2022,38,45,32
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/13/2022,40,49,31
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/14/2022,43,47,38
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/15/2022,43,48,38
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/16/2022,42,48,35
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/17/2022,44,49,40
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/18/2022,42,47,38
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/19/2022,42,47,37
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/20/2022,42,46,38
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/21/2022,38,46,31
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/22/2022,32,37,26
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/23/2022,27,35,20
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/24/2022,31,39,23
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/25/2022,33,42,24
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/26/2022,39,52,26
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/27/2022,46,51,40
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/28/2022,45,47,44
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/1/2022,50,55,45
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/2/2022,48,53,43
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/3/2022,45,49,41
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/4/2022,44,48,40
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/5/2022,43,48,38
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/6/2022,40,49,31
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/7/2022,43,50,37
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/8/2022,45,50,39
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/9/2022,38,46,30
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/10/2022,36,44,28
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/11/2022,39,42,36
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/12/2022,45,52,38
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/13/2022,47,52,42
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/14/2022,45,47,43
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/15/2022,46,50,42
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/16/2022,44,52,35
